"","address","prize","prize_GLMR"
"1","0x05467836a6cb9fa2a52706db130f2cd3350d84dd",2,51.1
"2","0x0725a084d97328dbba684d0f995162f6ee30006d",1,25.55
"3","0x07739dfc55e8643960c7cf987d9258c087cab976",2,51.1
"4","0x0b029f7b3dde3d77a079a8be8cf5beda66edd4df",1,25.55
"5","0x109eaa8e64f3d20f9294b8a563148cf1e3e1b7b5",1,25.55
"6","0x15870af7a292ad698827182fdd11b083298a9990",2,51.1
"7","0x167d8b13698ffd8d6273532cdcbd0747e9f4cbb2",1,25.55
"8","0x1ac8a6d59db3938ddbee19f4ec3ea8a0a771bf6e",1,25.55
"9","0x1c496ed78215eac4978f02cca335ff3a358e1f35",1,25.55
"10","0x1daf42373baf8c483aa8565a8584bc39ff4b58e2",1,25.55
"11","0x1dbac10d2db0263dbd6cb98cb4bf10f0d4bbec9f",1,25.55
"12","0x2516b0ace669024178c47fe07dc288def36512cd",1,25.55
"13","0x2dd4c1a081f3ce58217bf12edd297361b17b9c97",1,25.55
"14","0x3c2638dd1f80de379287dc171c27f2b5e56fc533",4,102.2
"15","0x466f92bb211d12794b5b0c78438864079e2cbfd5",6,153.3
"16","0x468e68f95216fb8759406fc8a9bbee10498e9281",26,664.3
"17","0x5f90ebc41c07089502a32d683480ea3fe2410d34",1,25.55
"18","0x67fa73cb67a4d961c0d14faf45483899192d8ac3",2,51.1
"19","0x6ac3d74b3e255ff48ae9d8e1b6c8bc9afdfa4cbd",3,76.65
"20","0x6dbe1cebf019ac24a1966762097f873d0df25738",1,25.55
"21","0x7a75f008c92d94761ff156ef54d99133f3054be4",1,25.55
"22","0x8b312e24718acf73e7036cfedd20c54d61675f11",2,51.1
"23","0x8bb820c251ac194ca770f9f0cdc12b76354e3de6",1,25.55
"24","0x8f2ed6e59a27a96277b233eea9a0f0f460ccae31",1,25.55
"25","0x948104e6c65cbdcf599ffc6cd49181bafd8a446e",2,51.1
"26","0x9992fc085d5b5fe8c62438d81ffa7903ed8343ad",11,281.05
"27","0xa27a729443ad105cabbc5d2d7f877a5340aa3e69",1,25.55
"28","0xab5f6b2b24b5e7b8ee5218d534f0ff8cffd88d5c",1,25.55
"29","0xb2c9aa0dab5797ec17eb99c7006b8db224e916ba",2,51.1
"30","0xc1a95655ad8d40e8cdf4f9f29c3a6946932f4294",1,25.55
"31","0xc4708a97009d5eabd3b06570c0de11061214c80f",2,51.1
"32","0xc6b3e413b3f7d2cb67191f806f8dfdb4a9d60ac7",1,25.55
"33","0xc92eb3f64444377b3d2d103b78d22e28e6b8d88a",1,25.55
"34","0xd3cd1bce062483536b97c47221c165a9fe3b4716",1,25.55
"35","0xd4f5685c1a4167420e78f9a406b5e21b5f6a9481",2,51.1
"36","0xd8de315eb7a00f4155d1ea9eb4eb6888ae715631",4,102.2
"37","0xda13157f47929bced94ce06ef8cbef70328981fc",1,25.55
"38","0xde10c4a242af497479816b2144c1d78838c7c796",1,25.55
"39","0xe442145711bf3c56452f0dcc730f3ad65ce230cc",1,25.55
"40","0xe4de83fdbc4b9352deeab80a1b03a2da99e5a4a4",1,25.55
"41","0xe9cbe0f9cbee09873b4dcf968a82e3ae6b9e7065",1,25.55
"42","0xede25f41e2c28708be61b583cc9cb6771e113fbe",2,51.1
